Word/Phrase,TF-IDF_Average,Intensity_Coefficient
pumpkin,0.0014344945114192144,0.38319239759266904
spacious and,0.000492757650463611,0.38304230785674653
new,0.006137069294660254,0.38221613544007066
was made,0.0012395443848104897,0.38165639862721584
cheerful,0.0007020568711239946,0.381360195290779
they even,0.0005892397616754219,0.3812143237127442
thursday,0.00032340967390159434,0.38103455570102346
it ready,0.0002539679785635847,0.3807892977444509
that if,0.00043645825106418575,0.38054460058907047
deserves,0.0004379182733178919,0.37987492065114803
staff and,0.0018641518934823169,0.37948554206470136
top notch,0.00048725690160303804,0.3784586313725468
it but,0.0008956590506983662,0.37727923597445856
location of,0.0003210572078084254,0.37458054253446915
from work,0.00023479779672613742,0.37411556328765166
made my,0.0017787629412779973,0.37395235798614834
day,0.0073238545973308665,0.373687390626585
satisfied,0.00041686507158651605,0.3736129793987712
rocks,0.0003339471081947553,0.37262344711079387
so friendly,0.001133159218794743,0.3723185265862565
disappoint,0.0003306401061464319,0.37204986490529846
for me,0.003028998542005375,0.371459129046433
always get,0.00117402450694645,0.3711231767513619
heart,0.0007138729715184209,0.37029478914158714
you like,0.0008056134883271706,0.3697420738581245
accommodating,0.0008171226889235749,0.36814621464178865
live,0.0015721296323619363,0.3678169549932203
and friendly,0.003405849191093957,0.3675844386213316
friendly staff,0.0029605243450362903,0.367343828515269
welcome,0.0008493999397226864,0.36727503553053903
delightful,0.00040205000796479466,0.3668832089688016
when not,0.000225000163246709,0.3668133120598418
love this,0.0030450039180342442,0.3666933509976409
huge,0.0017702741604345839,0.3666497150215541
consistent and,0.00038759113592340324,0.36590027543378484
will say,0.00046841401883987606,0.36589918610133726
came,0.003955390928591811,0.36586663244366235
they were so,0.00030779367430893383,0.3653687092614341
game,0.0006217127405511943,0.3653397169262574
promptly,0.0003099367998426729,0.36503552108874104
never had bad,0.0004991969157239342,0.36401118628996226
genuinely,0.00044903555455439066,0.3635983668446176
friends,0.0016642220633975512,0.36332896990381724
liked,0.0006495392930359722,0.36278739011643585
and how,0.0003874155359918495,0.3622420709836144
if not,0.0005301928865725532,0.36212747269734796
speedy,0.0007632976078396959,0.3605134331591941
raise,0.0003077516747465306,0.36049331338988033
wall,0.0006850091919589424,0.3604108654428149
true,0.0006581480927525928,0.3602990498548389
in less than,0.00028594098026547463,0.3593757284814028
are the,0.0013529996252855214,0.3592796874655003
drinks are always,0.0008513329988687981,0.35906588767443554
honest,0.00037350747333569624,0.3586422854299264
personable,0.0005946387161196267,0.35855689123760026
absolutely love,0.00042022753960195016,0.35818717356404295
rock,0.0004327915792814716,0.35762381905359325
this one,0.004298019369941971,0.3564646374256364
have just,0.00026254611914512156,0.35598502338426036
great experience,0.0008667329023525166,0.3559692893709768
be honest,0.00029571896615878225,0.35576561425701647
weekend,0.0008000083692047126,0.3548959069891896
it starbucks,0.0018521445291451823,0.35422842380755243
gave us,0.00023806700748407438,0.3542182793430004
but that,0.001308447690312414,0.3541179835618091
joy,0.0004052114518657813,0.3541031930280203
me my coffee,0.00021746190950452812,0.3537337261126262
gift,0.001266982343050042,0.3530649119956185
love it,0.0008582525881497828,0.3529477868684137
