Word/Phrase,TF-IDF_Average,Primary_Sentiment,Sentiment_Coefficient,negative_coef,neutral/mixed_coef,positive_coef
usually,0.006979837910485428,negative,-0.7994437898644997,-0.7994437898644997,0.28554126462874885,0.5139025252357486
say,0.006920428662820146,negative,-0.4277842697326416,-0.4277842697326416,0.11944164865738656,0.3083426210752504
tea,0.006777288586871476,neutral/mixed,-0.9039866121265101,0.27460590254657247,-0.9039866121265101,0.6293807095799372
wrong,0.006712965951736952,negative,1.6342289849579978,1.6342289849579978,-0.34708252660823685,-1.287146458349746
experience,0.006559107467302405,neutral/mixed,-1.1655216226858296,0.58943126341316,-1.1655216226858296,0.5760903592726714
favorite,0.006545559168212093,positive,2.2017395310143733,-1.4155964126784517,-0.78614311833592,2.2017395310143733
used,0.006498716529987377,positive,-1.160468617118176,0.3424537329478865,0.8180148841702896,-1.160468617118176
orders,0.006498051548363406,negative,0.6871163453935993,0.6871163453935993,-0.2791388840678512,-0.4079774613257493
working,0.006414659607887399,positive,0.7429755618491247,-0.07171079778196195,-0.6712647640671652,0.7429755618491247
ok,0.006389267987781507,neutral/mixed,2.2870336524558983,-1.1679432194816153,2.2870336524558983,-1.1190904329742644
today,0.00634885889418546,negative,1.1175529258158596,1.1175529258158596,-0.9271069945886378,-0.19044593122722342
rude,0.006322423894094147,negative,4.087064878238649,4.087064878238649,-1.3160132882148439,-2.7710515900238075
bit,0.006317375805638411,negative,-1.6494086755099802,-1.6494086755099802,1.1009133650554224,0.5484953104545433
feel,0.006240544058090818,positive,0.4584677078173952,-0.11581879335501613,-0.34264891446238366,0.4584677078173952
iced,0.00617787320882613,negative,0.8935746322533497,0.8935746322533497,-0.5525722406193309,-0.34100239163401247
came,0.006174668957343916,negative,-1.043405254914139,-1.043405254914139,0.6196007506498734,0.4238045042642524
latte,0.006085598449205538,neutral/mixed,-0.4293413250959677,0.31491660212159106,-0.4293413250959677,0.11442472297437511
hard,0.005999560589336544,neutral/mixed,0.6433500448776985,-0.324783281751789,0.6433500448776985,-0.31856676312590904
ll,0.005965623234627642,positive,-0.1820968461522768,0.15101279384881267,0.031084052303463745,-0.1820968461522768
definitely,0.0059240467267584,positive,0.48850066089114036,-0.4816135841000416,-0.006887076791097987,0.48850066089114036
food,0.005887960208256919,negative,0.41746965297417815,0.41746965297417815,-0.3942283241952639,-0.023241328778916184
worst,0.0058110715321473124,negative,4.214199166103783,4.214199166103783,-1.3174440683965591,-2.896755097707189
waiting,0.005786303023234874,negative,1.0797609164456599,1.0797609164456599,-0.4810302851760103,-0.5987306312696459
took,0.005751041868820073,negative,0.7445268668213821,0.7445268668213821,-0.2485804744662549,-0.49594639235512245
hot,0.005740323214511801,neutral/mixed,-0.6286724398950567,0.23035556571543533,-0.6286724398950567,0.3983168741796206
color,0.005601067600635109,neutral/mixed,2.3002315234320623,-0.8814065774201929,2.3002315234320623,-1.4188249460118605
open,0.005557713424174511,negative,0.9930736427906556,0.9930736427906556,-0.923193957326996,-0.06987968546364773
stop,0.005452802546944804,positive,0.7103828130403259,-0.640965019114422,-0.06941779392590113,0.7103828130403259
works,0.005436946698656699,neutral/mixed,1.6839228615822093,-1.272528381720681,1.6839228615822093,-0.4113944798615259
mobile,0.005430813810281181,neutral/mixed,-0.1508914487029503,0.10834715282558835,-0.1508914487029503,0.042544295877363
getting,0.005299053621350913,negative,0.14366644664901265,0.14366644664901265,-0.08463296221004471,-0.05903348443896734
try,0.005272378957839972,neutral/mixed,-0.28933280174185677,0.048641872555165444,-0.28933280174185677,0.24069092918668944
quality,0.00524162233765023,neutral/mixed,0.6694230426918135,-0.5433651280532734,0.6694230426918135,-0.1260579146385453
making,0.005234815170384645,negative,0.7503470079034393,0.7503470079034393,-0.680308906764549,-0.07003810113889049
makes,0.005140437063866397,positive,0.6696605286845299,-0.30878299906172946,-0.36087752962280584,0.6696605286845299
big,0.005041148413556464,negative,-0.9283181174617093,-0.9283181174617093,0.8204089542553799,0.10790916320632468
cold,0.005031103327012733,negative,0.9995741495108511,0.9995741495108511,-0.9132345791920027,-0.08633957031884998
free,0.005018996787095367,positive,2.1293813588402593,-1.8708693708099189,-0.25851198803034753,2.1293813588402593
job,0.005017888550532489,positive,0.34818998649201327,-0.002099224851981909,-0.3460907616400299,0.34818998649201327
tables,0.004991877526122466,negative,-0.30122957117957216,-0.30122957117957216,0.039720331502031116,0.2615092396775427
look,0.004949528360426319,positive,-0.9775272074528527,0.10754487278319219,0.869982334669662,-0.9775272074528527
counter,0.0049342042232486845,negative,0.7693553604700132,0.7693553604700132,-0.5037675660403058,-0.2655877944297054
waited,0.004932170320818723,negative,1.4611893133645222,1.4611893133645222,-0.5632961083908331,-0.8978932049736859
different,0.00492735651951657,negative,0.70559851487471,0.70559851487471,-0.1014287642145456,-0.6041697506601684
coming,0.004921294528767194,neutral/mixed,-0.9468036370599945,0.5005752350065287,-0.9468036370599945,0.4462284020534669
kind,0.00491586767145397,negative,-1.8296239898499451,-1.8296239898499451,0.597487850766075,1.2321361390838796
wanted,0.0048772006563626265,positive,-0.5177874226344118,0.03898603603947498,0.47880138659493865,-0.5177874226344118
milk,0.004875291950175978,negative,1.0045054905580544,1.0045054905580544,-0.03202326045369028,-0.9724822301043754
staff friendly,0.004871864833347193,negative,-0.9644498879806088,-0.9644498879806088,0.6352439355089383,0.3292059524716777
maybe,0.00483930624488523,positive,-1.6444430443669207,0.7917399177670238,0.8527031265999088,-1.6444430443669207
away,0.004812081263067593,negative,0.617159086841546,0.617159086841546,-0.49172106603315036,-0.12543802080839048
thing,0.0048028204720142005,neutral/mixed,0.5256223108730071,-0.4416002634607636,0.5256223108730071,-0.08402204741224246
price,0.004801695558213993,positive,-1.0911700609723993,0.1471708693230616,0.9439991916493354,-1.0911700609723993
