Word/Phrase,TF-IDF_Average,Primary_Sentiment,Sentiment_Coefficient,negative_coef,neutral/mixed_coef,positive_coef
location best,0.0003012408957354307,positive,0.24191493623486374,-0.22601943265588909,-0.01589550357897432,0.24191493623486374
takes time,0.0003009461126030346,negative,-0.007446161428475566,-0.007446161428475566,0.0031585495063756403,0.004287611922099976
friendly attentive,0.0003006927446898164,neutral/mixed,0.1555023198963458,-0.12361250954427595,0.1555023198963458,-0.03188981035207058
tray,0.0003006540772233634,negative,-0.19322405535082393,-0.19322405535082393,0.16535305144800283,0.02787100390282183
running late,0.00030056290225437867,negative,-0.3566386934549443,-0.3566386934549443,0.19159318228666805,0.16504551116827632
love staff,0.00030049564002290904,positive,0.40779763814321185,-0.10633196560760302,-0.3014656725356109,0.40779763814321185
fashion,0.0003004704353483948,negative,-0.1312688737580572,-0.1312688737580572,0.09247989972808685,0.038788974029971446
curling,0.00030034538852071764,neutral/mixed,0.2307160387955359,-0.11058517508358887,0.2307160387955359,-0.12013086371194702
line took,0.0003001265949111917,negative,0.41934952901612443,0.41934952901612443,-0.2820580830610981,-0.13729144595502393
cream sugar,0.0003001241497415754,positive,-0.4431906551706823,0.37551282691088056,0.06767782825980141,-0.4431906551706823
new favorite,0.0003000563628705622,positive,0.3453054199520046,-0.1613209922206595,-0.18398442773134513,0.3453054199520046
ride,0.0002996884583774548,positive,0.30880315122995794,-0.15699779556703422,-0.15180535566292117,0.30880315122995794
work friendly,0.0002996438994925523,positive,0.3453776357929054,-0.20955195711397767,-0.1358256786789284,0.3453776357929054
favourite,0.0002996199983563211,positive,0.1315036672184637,-0.11092614059555778,-0.020577526622906003,0.1315036672184637
pet,0.0002994983993889286,positive,0.238712810534367,-0.14940216789603528,-0.0893106426383327,0.238712810534367
strawberries,0.00029948099402208293,negative,0.7620460663813404,0.7620460663813404,-0.5380766861982627,-0.2239693801830807
feels good,0.0002993994875052145,neutral/mixed,0.2219558331333527,-0.07137088171558911,0.2219558331333527,-0.15058495141776257
visited starbucks,0.00029931338505094794,positive,-0.3118438714894303,0.058733087012890456,0.2531107844765409,-0.3118438714894303
shedding,0.00029922567474971056,neutral/mixed,0.2427043512008433,-0.1774932325125355,0.2427043512008433,-0.06521111868830753
starbucks target,0.0002991401646726283,negative,0.34270102688296145,0.34270102688296145,-0.18578362958613762,-0.15691739729682513
frustration,0.0002990378871053304,positive,-0.24942029518022396,0.17051695490765548,0.07890334027256894,-0.24942029518022396
coffee drive,0.00029898972034675365,positive,-0.40719390551790985,0.07196607405235984,0.3352278314655501,-0.40719390551790985
absolute worst,0.00029880528313241386,negative,0.21973456394845223,0.21973456394845223,-0.028399183999560963,-0.1913353799488916
entire time,0.00029879442089377693,negative,0.39075321329660784,0.39075321329660784,-0.2796056155551772,-0.11114759774143065
quality drinks,0.0002986919392580042,positive,0.5032679671172359,-0.2708570307886182,-0.2324109363286183,0.5032679671172359
guessing,0.0002985386139775843,neutral/mixed,-0.2968351396356657,0.008958912603237243,-0.2968351396356657,0.2878762270324272
stone,0.0002984747173948589,negative,-0.3037074633928857,-0.3037074633928857,0.29244782942495123,0.011259633967934347
cuts,0.00029841949711016804,neutral/mixed,0.5017698731302077,-0.2872513781335414,0.5017698731302077,-0.2145184949966673
walks,0.00029836553997694926,neutral/mixed,0.11435036068779232,-0.03023608823017079,0.11435036068779232,-0.08411427245762126
claim,0.0002982421993311152,negative,0.395049340456442,0.395049340456442,-0.22047524467959206,-0.1745740957768489
distancing,0.0002981188380642955,positive,0.19737784517566206,-0.19030397355017986,-0.007073871625481873,0.19737784517566206
place come,0.00029796919932969504,negative,0.16126629169769077,0.16126629169769077,-0.06745340582646589,-0.09381288587122426
sit enjoy,0.00029777466575006174,positive,-0.39683814475538853,0.32859637104209594,0.06824177371329081,-0.39683814475538853
staff does,0.00029765991927488563,positive,-0.17023155503781384,0.15624262635101863,0.013988928686795658,-0.17023155503781384
truck,0.0002976553117119763,neutral/mixed,-0.2382077109796608,0.05397409972934544,-0.2382077109796608,0.18423361125031495
require,0.0002975773963253267,positive,0.04492271463961235,-0.029526581630972205,-0.01539613300864011,0.04492271463961235
busier,0.00029751860444058556,neutral/mixed,-0.26850497747755564,0.008917546490422378,-0.26850497747755564,0.259587430987133
repeated,0.00029749545181231943,positive,-0.2757517980678992,0.1780864433613949,0.09766535470650292,-0.2757517980678992
refreshers,0.00029725393685052064,neutral/mixed,0.10248278749613376,-0.04972986736925354,0.10248278749613376,-0.052752920126880536
indianapolis,0.00029724684948631076,neutral/mixed,-0.2530335607439617,0.10787749849142426,-0.2530335607439617,0.14515606225253883
use mobile,0.0002971136958230485,negative,0.264428459674575,0.264428459674575,-0.21485951369894246,-0.049568945975630316
starbucks won,0.0002971067868125211,negative,0.33167676397464235,0.33167676397464235,-0.08911068980251462,-0.24256607417212822
hired,0.00029706653119438375,neutral/mixed,-0.2667089737610386,0.22994115133765713,-0.2667089737610386,0.0367678224233808
court,0.0002970640368763288,neutral/mixed,-0.2782909316675866,0.08559369244930647,-0.2782909316675866,0.19269723921828005
quick coffee,0.0002970108836261381,positive,-0.8200382083808087,0.03867308493158809,0.7813651234492167,-0.8200382083808087
according,0.00029697965774402337,negative,0.2967227199932617,0.2967227199932617,-0.23637885494686023,-0.06034386504640053
does great,0.0002969507683538566,neutral/mixed,-0.11932242867186486,0.050825464956480285,-0.11932242867186486,0.06849696371538501
following,0.0002967272221859082,negative,0.043159903117735064,0.043159903117735064,-0.020228489417324812,-0.02293141370040978
convention center,0.0002967098791316953,neutral/mixed,-0.18776692353790625,0.13913434184237658,-0.18776692353790625,0.04863258169552978
shampoo conditioner,0.00029638990358424506,neutral/mixed,0.1912210159359262,-0.13250915558709658,0.1912210159359262,-0.05871186034882898
independent,0.0002962924489256271,positive,-0.558357380539228,0.3525424985282781,0.20581488201095025,-0.558357380539228
sensitive skin,0.00029620266702807386,neutral/mixed,0.08885544012266178,-0.051260382778016096,0.08885544012266178,-0.037595057344646216
small tables,0.0002961192647109856,neutral/mixed,-0.37023375936283515,0.18982120792434393,-0.37023375936283515,0.18041255143849222
started going,0.000296106172903007,neutral/mixed,-0.14624323294150016,0.019122036848245684,-0.14624323294150016,0.12712119609325506
skim,0.00029606783384272936,positive,0.1366810940908027,-0.010974173503201644,-0.12570692058760055,0.1366810940908027
rip,0.00029587337968933216,positive,-0.24185713822381633,0.09598249513797444,0.14587464308584147,-0.24185713822381633
ambience,0.00029583623701939663,neutral/mixed,-0.38736932129205326,0.34207437808366725,-0.38736932129205326,0.0452949432083864
brandon,0.0002956670354171502,positive,0.2811157056380279,-0.2704587093993614,-0.010656996238666352,0.2811157056380279
burning,0.0002956640259667336,positive,0.09441180529953605,-0.071729651211801,-0.02268215408773513,0.09441180529953605
coffee spot,0.0002955597691162353,positive,-0.13140033016888616,0.023708439830254148,0.10769189033863179,-0.13140033016888616
amazed,0.00029550013493666224,negative,-0.2865681710926393,-0.2865681710926393,0.09745894031922632,0.18910923077341132
comfortable seating,0.00029549943607859767,neutral/mixed,0.2692265476357853,-0.042028965863468756,0.2692265476357853,-0.22719758177231664
complex,0.00029539440643107763,neutral/mixed,0.5389399446376633,-0.1675704666628851,0.5389399446376633,-0.37136947797477443
slowest service,0.0002953561913025476,positive,-0.20146208415934322,0.1945137702850095,0.006948313874333278,-0.20146208415934322
acted like,0.0002952813641019198,negative,0.5413429465626969,0.5413429465626969,-0.28474148473944794,-0.2566014618232448
friendly really,0.00029516700531653626,positive,0.392583420597523,-0.20069000157832204,-0.19189341901919932,0.392583420597523
doesn come,0.00029512682485349166,negative,0.2330258325871497,0.2330258325871497,-0.041704676220622405,-0.19132115636652727
lunch break,0.00029486755632888864,neutral/mixed,-0.1504635940766471,0.06483571820704294,-0.1504635940766471,0.08562787586960438
plentiful,0.0002948434261582553,negative,-0.0309271128074413,-0.0309271128074413,0.025592296365625926,0.005334816441815324
starbucks plenty,0.0002948398631400591,positive,0.2793648298187343,-0.13190043579184732,-0.14746439402688746,0.2793648298187343
really appreciate,0.0002947019236334132,positive,0.3776930416771389,-0.34772984413975383,-0.0299631975373858,0.3776930416771389
ribbon,0.00029468058586456337,negative,0.2677008388534004,0.2677008388534004,-0.058070527590141,-0.20963031126325732
provides,0.0002945777337062802,negative,-0.23469343694297695,-0.23469343694297695,0.020423036558412766,0.21427040038456277
thank starbucks,0.00029451507539144593,positive,0.5449432953051538,-0.3403089681317254,-0.20463432717342533,0.5449432953051538
stl,0.00029449627360387604,positive,0.39442987525872775,-0.0003130455411259143,-0.3941168297176016,0.39442987525872775
driven,0.0002943999025787602,positive,-0.2835372417439097,0.19006882827825466,0.0934684134656542,-0.2835372417439097
wait coffee,0.0002942610913686403,neutral/mixed,-0.08462539409592032,0.07796652177995346,-0.08462539409592032,0.006658872315966974
portion,0.00029418338990144625,negative,-0.36495420550935675,-0.36495420550935675,0.2545393037317573,0.11041490177760056
pound,0.00029417985142510055,neutral/mixed,-0.17930720297713082,0.04080755383557042,-0.17930720297713082,0.1384996491415608
stress,0.0002941191184417584,positive,0.263799166167677,-0.030680067860106474,-0.2331190983075723,0.263799166167677
starbucks ordered,0.0002941163935799456,negative,0.16742968869851743,0.16742968869851743,-0.16205509743967275,-0.005374591258845716
deliver,0.0002940116429338972,negative,-0.38621412428996404,-0.38621412428996404,0.22908517458636254,0.1571289497036036
experience time,0.0002938984642523127,negative,0.25644447841937146,0.25644447841937146,-0.016917949374468284,-0.23952652904490335
operation,0.00029387485779526067,neutral/mixed,-0.453115359012931,0.2991042610687745,-0.453115359012931,0.15401109794415707
mild,0.00029379860227091956,neutral/mixed,0.1875566804760689,-0.08729895544083034,0.1875566804760689,-0.10025772503523857
100,0.000293754642276021,neutral/mixed,0.1482351711245984,-0.08175455908311313,0.1482351711245984,-0.06648061204148493
heaven,0.0002936873559308001,positive,0.38483232965854036,-0.010860469302742166,-0.37397186035579616,0.38483232965854036
best staff,0.0002936430501542411,positive,0.34120951964513246,-0.14833222962618045,-0.19287729001895487,0.34120951964513246
adorable,0.00029360316071524594,neutral/mixed,0.29327868269235513,-0.11328381621817919,0.29327868269235513,-0.17999486647417728
adults,0.00029349557864960453,positive,-0.1333617570356269,0.03774837700166035,0.09561338003396612,-0.1333617570356269
ready time,0.00029339082668900917,negative,-0.2536790332127992,-0.2536790332127992,0.06425321062241511,0.18942582259038435
hidden,0.0002932563854029516,positive,0.47540617651616074,-0.05702748390895633,-0.4183786926072062,0.47540617651616074
past years,0.0002932023339687844,negative,0.25023501800215464,0.25023501800215464,-0.15700287510287006,-0.093232142899284
hair doesn,0.0002929205710198599,neutral/mixed,0.1605863540789195,-0.11190946103914005,0.1605863540789195,-0.04867689303978
